1 0 ['seti', 123, 0, 4] [15823996, 0, 0, 0, 0, 0]
38 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 3]
39 19 ['muli', 2, 256, 2] [15823996, 18, 4, 65536, 14559001, 3]
40 20 ['gtrr', 2, 3, 2] [15823996, 19, 1024, 65536, 14559001, 3]
41 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 3]
42 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 3]
43 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 3]
44 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 4]
45 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 4]
46 19 ['muli', 2, 256, 2] [15823996, 18, 5, 65536, 14559001, 4]
47 20 ['gtrr', 2, 3, 2] [15823996, 19, 1280, 65536, 14559001, 4]
48 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 4]
49 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 4]
50 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 4]
51 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 5]
52 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 5]
53 19 ['muli', 2, 256, 2] [15823996, 18, 6, 65536, 14559001, 5]
54 20 ['gtrr', 2, 3, 2] [15823996, 19, 1536, 65536, 14559001, 5]
55 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 5]
56 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 5]
57 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 5]
58 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 6]
59 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 6]
60 19 ['muli', 2, 256, 2] [15823996, 18, 7, 65536, 14559001, 6]
61 20 ['gtrr', 2, 3, 2] [15823996, 19, 1792, 65536, 14559001, 6]
62 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 6]
63 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 6]
64 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 6]
65 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 7]
66 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 7]
67 19 ['muli', 2, 256, 2] [15823996, 18, 8, 65536, 14559001, 7]
68 20 ['gtrr', 2, 3, 2] [15823996, 19, 2048, 65536, 14559001, 7]
69 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 7]
70 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 7]
71 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 7]
72 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 8]
73 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 8]
74 19 ['muli', 2, 256, 2] [15823996, 18, 9, 65536, 14559001, 8]
75 20 ['gtrr', 2, 3, 2] [15823996, 19, 2304, 65536, 14559001, 8]
76 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 8]
77 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 8]
78 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 8]
79 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 9]
80 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 9]
81 19 ['muli', 2, 256, 2] [15823996, 18, 10, 65536, 14559001, 9]
82 20 ['gtrr', 2, 3, 2] [15823996, 19, 2560, 65536, 14559001, 9]
83 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 9]
84 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 9]
85 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 9]
86 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 10]
87 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 10]
88 19 ['muli', 2, 256, 2] [15823996, 18, 11, 65536, 14559001, 10]
89 20 ['gtrr', 2, 3, 2] [15823996, 19, 2816, 65536, 14559001, 10]
90 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 10]
91 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 10]
92 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 10]
93 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 11]
94 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 11]
95 19 ['muli', 2, 256, 2] [15823996, 18, 12, 65536, 14559001, 11]
96 20 ['gtrr', 2, 3, 2] [15823996, 19, 3072, 65536, 14559001, 11]
97 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 11]
98 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 11]
99 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 11]
100 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 12]
101 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 12]
102 19 ['muli', 2, 256, 2] [15823996, 18, 13, 65536, 14559001, 12]
103 20 ['gtrr', 2, 3, 2] [15823996, 19, 3328, 65536, 14559001, 12]
104 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 12]
105 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 12]
106 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 12]
107 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 13]
108 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 13]
109 19 ['muli', 2, 256, 2] [15823996, 18, 14, 65536, 14559001, 13]
110 20 ['gtrr', 2, 3, 2] [15823996, 19, 3584, 65536, 14559001, 13]
111 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 13]
112 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 13]
113 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 13]
114 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 14]
115 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 14]
116 19 ['muli', 2, 256, 2] [15823996, 18, 15, 65536, 14559001, 14]
117 20 ['gtrr', 2, 3, 2] [15823996, 19, 3840, 65536, 14559001, 14]
118 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 14]
119 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 14]
120 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 14]
121 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 15]
122 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 15]
123 19 ['muli', 2, 256, 2] [15823996, 18, 16, 65536, 14559001, 15]
124 20 ['gtrr', 2, 3, 2] [15823996, 19, 4096, 65536, 14559001, 15]
125 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 15]
126 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 15]
127 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 15]
128 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 16]
129 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 16]
130 19 ['muli', 2, 256, 2] [15823996, 18, 17, 65536, 14559001, 16]
131 20 ['gtrr', 2, 3, 2] [15823996, 19, 4352, 65536, 14559001, 16]
132 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 16]
133 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 16]
134 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 16]
135 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 17]
136 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 17]
137 19 ['muli', 2, 256, 2] [15823996, 18, 18, 65536, 14559001, 17]
138 20 ['gtrr', 2, 3, 2] [15823996, 19, 4608, 65536, 14559001, 17]
139 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 17]
140 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 17]
141 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 17]
142 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 18]
143 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 18]
144 19 ['muli', 2, 256, 2] [15823996, 18, 19, 65536, 14559001, 18]
145 20 ['gtrr', 2, 3, 2] [15823996, 19, 4864, 65536, 14559001, 18]
146 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 18]
147 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 18]
148 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 18]
149 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 19]
150 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 19]
151 19 ['muli', 2, 256, 2] [15823996, 18, 20, 65536, 14559001, 19]
152 20 ['gtrr', 2, 3, 2] [15823996, 19, 5120, 65536, 14559001, 19]
153 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 19]
154 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 19]
155 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 19]
156 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 20]
157 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 20]
158 19 ['muli', 2, 256, 2] [15823996, 18, 21, 65536, 14559001, 20]
159 20 ['gtrr', 2, 3, 2] [15823996, 19, 5376, 65536, 14559001, 20]
160 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 20]
161 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 20]
162 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 20]
163 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 21]
164 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 21]
165 19 ['muli', 2, 256, 2] [15823996, 18, 22, 65536, 14559001, 21]
166 20 ['gtrr', 2, 3, 2] [15823996, 19, 5632, 65536, 14559001, 21]
167 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 21]
168 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 21]
169 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 21]
170 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 22]
171 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 22]
172 19 ['muli', 2, 256, 2] [15823996, 18, 23, 65536, 14559001, 22]
173 20 ['gtrr', 2, 3, 2] [15823996, 19, 5888, 65536, 14559001, 22]
174 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 22]
175 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 22]
176 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 22]
177 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 23]
178 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 23]
179 19 ['muli', 2, 256, 2] [15823996, 18, 24, 65536, 14559001, 23]
180 20 ['gtrr', 2, 3, 2] [15823996, 19, 6144, 65536, 14559001, 23]
181 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 23]
182 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 23]
183 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 23]
184 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 24]
185 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 24]
186 19 ['muli', 2, 256, 2] [15823996, 18, 25, 65536, 14559001, 24]
187 20 ['gtrr', 2, 3, 2] [15823996, 19, 6400, 65536, 14559001, 24]
188 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 24]
189 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 24]
190 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 24]
191 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 25]
192 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 25]
193 19 ['muli', 2, 256, 2] [15823996, 18, 26, 65536, 14559001, 25]
194 20 ['gtrr', 2, 3, 2] [15823996, 19, 6656, 65536, 14559001, 25]
195 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 25]
196 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 25]
197 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 25]
198 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 26]
199 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 26]
200 19 ['muli', 2, 256, 2] [15823996, 18, 27, 65536, 14559001, 26]
201 20 ['gtrr', 2, 3, 2] [15823996, 19, 6912, 65536, 14559001, 26]
202 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 26]
203 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 26]
204 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 26]
205 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 27]
206 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 27]
207 19 ['muli', 2, 256, 2] [15823996, 18, 28, 65536, 14559001, 27]
208 20 ['gtrr', 2, 3, 2] [15823996, 19, 7168, 65536, 14559001, 27]
209 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 27]
210 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 27]
211 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 27]
212 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 28]
213 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 28]
214 19 ['muli', 2, 256, 2] [15823996, 18, 29, 65536, 14559001, 28]
215 20 ['gtrr', 2, 3, 2] [15823996, 19, 7424, 65536, 14559001, 28]
216 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 28]
217 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 28]
218 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 28]
219 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 29]
220 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 29]
221 19 ['muli', 2, 256, 2] [15823996, 18, 30, 65536, 14559001, 29]
222 20 ['gtrr', 2, 3, 2] [15823996, 19, 7680, 65536, 14559001, 29]
223 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 29]
224 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 29]
225 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 29]
226 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 30]
227 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 30]
228 19 ['muli', 2, 256, 2] [15823996, 18, 31, 65536, 14559001, 30]
229 20 ['gtrr', 2, 3, 2] [15823996, 19, 7936, 65536, 14559001, 30]
230 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 30]
231 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 30]
232 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 30]
233 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 31]
234 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 31]
235 19 ['muli', 2, 256, 2] [15823996, 18, 32, 65536, 14559001, 31]
236 20 ['gtrr', 2, 3, 2] [15823996, 19, 8192, 65536, 14559001, 31]
237 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 31]
238 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 31]
239 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 31]
240 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 32]
241 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 32]
242 19 ['muli', 2, 256, 2] [15823996, 18, 33, 65536, 14559001, 32]
243 20 ['gtrr', 2, 3, 2] [15823996, 19, 8448, 65536, 14559001, 32]
244 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 32]
245 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 32]
246 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 32]
247 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 33]
248 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 33]
249 19 ['muli', 2, 256, 2] [15823996, 18, 34, 65536, 14559001, 33]
250 20 ['gtrr', 2, 3, 2] [15823996, 19, 8704, 65536, 14559001, 33]
251 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 33]
252 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 33]
253 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 33]
254 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 34]
255 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 34]
256 19 ['muli', 2, 256, 2] [15823996, 18, 35, 65536, 14559001, 34]
257 20 ['gtrr', 2, 3, 2] [15823996, 19, 8960, 65536, 14559001, 34]
258 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 34]
259 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 34]
260 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 34]
261 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 35]
262 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 35]
263 19 ['muli', 2, 256, 2] [15823996, 18, 36, 65536, 14559001, 35]
264 20 ['gtrr', 2, 3, 2] [15823996, 19, 9216, 65536, 14559001, 35]
265 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 35]
266 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 35]
267 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 35]
268 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 36]
269 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 36]
270 19 ['muli', 2, 256, 2] [15823996, 18, 37, 65536, 14559001, 36]
271 20 ['gtrr', 2, 3, 2] [15823996, 19, 9472, 65536, 14559001, 36]
272 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 36]
273 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 36]
274 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 36]
275 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 37]
276 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 37]
277 19 ['muli', 2, 256, 2] [15823996, 18, 38, 65536, 14559001, 37]
278 20 ['gtrr', 2, 3, 2] [15823996, 19, 9728, 65536, 14559001, 37]
279 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 37]
280 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 37]
281 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 37]
282 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 38]
283 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 38]
284 19 ['muli', 2, 256, 2] [15823996, 18, 39, 65536, 14559001, 38]
285 20 ['gtrr', 2, 3, 2] [15823996, 19, 9984, 65536, 14559001, 38]
286 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 38]
287 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 38]
288 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 38]
289 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 39]
290 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 39]
291 19 ['muli', 2, 256, 2] [15823996, 18, 40, 65536, 14559001, 39]
292 20 ['gtrr', 2, 3, 2] [15823996, 19, 10240, 65536, 14559001, 39]
293 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 39]
294 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 39]
295 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 39]
296 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 40]
297 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 40]
298 19 ['muli', 2, 256, 2] [15823996, 18, 41, 65536, 14559001, 40]
299 20 ['gtrr', 2, 3, 2] [15823996, 19, 10496, 65536, 14559001, 40]
300 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 40]
301 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 40]
302 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 40]
303 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 41]
304 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 41]
305 19 ['muli', 2, 256, 2] [15823996, 18, 42, 65536, 14559001, 41]
306 20 ['gtrr', 2, 3, 2] [15823996, 19, 10752, 65536, 14559001, 41]
307 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 41]
308 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 41]
309 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 41]
310 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 42]
311 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 42]
312 19 ['muli', 2, 256, 2] [15823996, 18, 43, 65536, 14559001, 42]
313 20 ['gtrr', 2, 3, 2] [15823996, 19, 11008, 65536, 14559001, 42]
314 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 42]
315 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 42]
316 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 42]
317 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 43]
318 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 43]
319 19 ['muli', 2, 256, 2] [15823996, 18, 44, 65536, 14559001, 43]
320 20 ['gtrr', 2, 3, 2] [15823996, 19, 11264, 65536, 14559001, 43]
321 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 43]
322 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 43]
323 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 43]
324 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 44]
325 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 44]
326 19 ['muli', 2, 256, 2] [15823996, 18, 45, 65536, 14559001, 44]
327 20 ['gtrr', 2, 3, 2] [15823996, 19, 11520, 65536, 14559001, 44]
328 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 44]
329 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 44]
